
font_size 10

accuracy 81 ; block_size 4
accuracy 91 ; block_size 5
accuracy 91 ; block_size 6
accuracy 97 ; block_size 7
accuracy 94 ; block_size 8
accuracy 98 ; block_size 9
accuracy 13 ; block_size 10
accuracy 2 ; block_size 11
accuracy 36 ; block_size 12
accuracy 97 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 97 ; block_size 16
accuracy 97 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 98 ; block_size 24
accuracy 98 ; block_size 25
accuracy 97 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29

font_size 11

accuracy 88 ; block_size 4
accuracy 92 ; block_size 5
accuracy 93 ; block_size 6
accuracy 96 ; block_size 7
accuracy 96 ; block_size 8
accuracy 98 ; block_size 9
accuracy 96 ; block_size 10
accuracy 97 ; block_size 11
accuracy 98 ; block_size 12
accuracy 98 ; block_size 13
accuracy 97 ; block_size 14
accuracy 98 ; block_size 15
accuracy 98 ; block_size 16
accuracy 98 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 98 ; block_size 24
accuracy 98 ; block_size 25
accuracy 98 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29

font_size 12

accuracy 90 ; block_size 4
accuracy 95 ; block_size 5
accuracy 95 ; block_size 6
accuracy 97 ; block_size 7
accuracy 98 ; block_size 8
accuracy 98 ; block_size 9
accuracy 98 ; block_size 10
accuracy 98 ; block_size 11
accuracy 97 ; block_size 12
accuracy 97 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 98 ; block_size 16
accuracy 98 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 98 ; block_size 24
accuracy 98 ; block_size 25
accuracy 98 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29

font_size 13

accuracy 92 ; block_size 4
accuracy 95 ; block_size 5
accuracy 97 ; block_size 6
accuracy 97 ; block_size 7
accuracy 97 ; block_size 8
accuracy 97 ; block_size 9
accuracy 97 ; block_size 10
accuracy 98 ; block_size 11
accuracy 97 ; block_size 12
accuracy 97 ; block_size 13
accuracy 98 ; block_size 14
accuracy 97 ; block_size 15
accuracy 97 ; block_size 16
accuracy 97 ; block_size 17
accuracy 98 ; block_size 18
accuracy 97 ; block_size 19
accuracy 97 ; block_size 20
accuracy 97 ; block_size 21
accuracy 97 ; block_size 22
accuracy 97 ; block_size 23
accuracy 98 ; block_size 24
accuracy 97 ; block_size 25
accuracy 98 ; block_size 26
accuracy 97 ; block_size 27
accuracy 98 ; block_size 28
accuracy 97 ; block_size 29

font_size 14

accuracy 91 ; block_size 4
accuracy 94 ; block_size 5
accuracy 96 ; block_size 6
accuracy 96 ; block_size 7
accuracy 97 ; block_size 8
accuracy 96 ; block_size 9
accuracy 93 ; block_size 10
accuracy 97 ; block_size 11
accuracy 96 ; block_size 12
accuracy 98 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 98 ; block_size 16
accuracy 98 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 98 ; block_size 24
accuracy 98 ; block_size 25
accuracy 98 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 97 ; block_size 29

font_size 15

accuracy 89 ; block_size 4
accuracy 92 ; block_size 5
accuracy 95 ; block_size 6
accuracy 97 ; block_size 7
accuracy 96 ; block_size 8
accuracy 98 ; block_size 9
accuracy 96 ; block_size 10
accuracy 98 ; block_size 11
accuracy 98 ; block_size 12
accuracy 98 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 97 ; block_size 16
accuracy 98 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 97 ; block_size 24
accuracy 98 ; block_size 25
accuracy 98 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29

font_size 16

accuracy 90 ; block_size 4
accuracy 95 ; block_size 5
accuracy 96 ; block_size 6
accuracy 96 ; block_size 7
accuracy 97 ; block_size 8
accuracy 98 ; block_size 9
accuracy 97 ; block_size 10
accuracy 98 ; block_size 11
accuracy 98 ; block_size 12
accuracy 98 ; block_size 13
accuracy 98 ; block_size 14
accuracy 97 ; block_size 15
accuracy 98 ; block_size 16
accuracy 98 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 98 ; block_size 24
accuracy 98 ; block_size 25
accuracy 98 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29

font_size 17

accuracy 94 ; block_size 4
accuracy 96 ; block_size 5
